,prompt,completion
0,"Title: Culture
Verse 4: Offset
The value went up in the stocks
Tired of runnin' from the cops (12)
Pourin' lean on the rocks (Mud)
Mink fur, that's a fox (Vrrt)
Quarter million in the vault (Quarter K)
I'ma let the semi talk (Whole K)
Now he swimmin' with the dolphins (Dolphins)
Perky got me feelin' nauseous
Don't come around with the nonsense (Uh-uh)Verse 1: Quavo"," Yeah, I bought the Benz off the lot
Just to give your ho a lift
I'm havin' the sauce in the refrigerator
Just make sure you bring the chips
Ayy, it's a fuck nigga in the back
Just look at him, look at him plot
He prolly think it's a club light
But really it's the red dot"
1,"Title: Culture
Verse 1: Quavo
Yeah, I bought the Benz off the lot
Just to give your ho a lift
I'm havin' the sauce in the refrigerator
Just make sure you bring the chips
Ayy, it's a fuck nigga in the back
Just look at him, look at him plot
He prolly think it's a club light
But really it's the red dotVerse 4: Offset"," The value went up in the stocks
Tired of runnin' from the cops (12)
Pourin' lean on the rocks (Mud)
Mink fur, that's a fox (Vrrt)
Quarter million in the vault (Quarter K)
I'ma let the semi talk (Whole K)
Now he swimmin' with the dolphins (Dolphins)
Perky got me feelin' nauseous
Don't come around with the nonsense (Uh-uh)"
2,"Title: T-Shirt
Verse 2: Quavo
1995 (90s)
2005 (2000s)
Seen it with my eyes (Seen it)
Dope still alive (Dope)
Real mob ties (Mob)
Real frog eyes (Frog)
Real whole pies (Woah)
All-time high (High)
Do it for the culture (Culture)
They gon' bite like vultures (Vultures)
Way back when I was trappin' out Toyotas (Woo, skrrt, skrrt)
I'ma hit the gas (Gas)
12 can't pull me over (12)
Space coupe, Quavo Yoda, pourin' drank in sodasVerse 1: Takeoff"," Neck water faucet (Water)
Mockingbirds mocking (Woo)
Act' pint stocking (Act')
Nats keep thottin' (Nat)
Wrist on hockey (Hockey)
Wrist on rocky (Rocky)
Lot of niggas copy, huh
Name someone can stop me (No one)
Bitches call me Papi (Bitch)
'Sace, that's my hobby ('Sace)
Scotty on the molly, pocket rocket from O'Reilly (Grrah)
One off in the chamber, ain't no need for me to cock it (Uh-uh)
Niggas get to droppin' when that Draco get to poppin' (Frr)
All I want is cottage, roll a cigar full of broccoli (Cookie)
No check, want all cash, nigga, I don't do deposits (Uh-uh)
Bitches cross the border, nigga, bitches from the tropics (Whew)
I'ma get that bag, nigga, ain't no doubt about it (Yup)
I'ma feed my family, nigga, ain't no way around it (Family)
Ain't gon' never let up, nigga, God said show my talent (Show it)
Young nigga with the Anna, walkin' with the hammer (Grrah)
Talkin' country grammar, nigga, straight out Nawf Atlanta (Nawfside)"
3,"Title: T-Shirt
Verse 1: Takeoff
Neck water faucet (Water)
Mockingbirds mocking (Woo)
Act' pint stocking (Act')
Nats keep thottin' (Nat)
Wrist on hockey (Hockey)
Wrist on rocky (Rocky)
Lot of niggas copy, huh
Name someone can stop me (No one)
Bitches call me Papi (Bitch)
'Sace, that's my hobby ('Sace)
Scotty on the molly, pocket rocket from O'Reilly (Grrah)
One off in the chamber, ain't no need for me to cock it (Uh-uh)
Niggas get to droppin' when that Draco get to poppin' (Frr)
All I want is cottage, roll a cigar full of broccoli (Cookie)
No check, want all cash, nigga, I don't do deposits (Uh-uh)
Bitches cross the border, nigga, bitches from the tropics (Whew)
I'ma get that bag, nigga, ain't no doubt about it (Yup)
I'ma feed my family, nigga, ain't no way around it (Family)
Ain't gon' never let up, nigga, God said show my talent (Show it)
Young nigga with the Anna, walkin' with the hammer (Grrah)
Talkin' country grammar, nigga, straight out Nawf Atlanta (Nawfside)Verse 2: Quavo"," 1995 (90s)
2005 (2000s)
Seen it with my eyes (Seen it)
Dope still alive (Dope)
Real mob ties (Mob)
Real frog eyes (Frog)
Real whole pies (Woah)
All-time high (High)
Do it for the culture (Culture)
They gon' bite like vultures (Vultures)
Way back when I was trappin' out Toyotas (Woo, skrrt, skrrt)
I'ma hit the gas (Gas)
12 can't pull me over (12)
Space coupe, Quavo Yoda, pourin' drank in sodas"
4,"Title: Call Casting
Verse 2: Quavo
Brr, skrr, skrr, skrr, skrr-rr
Pot (Skrr skrr)
Niggas tried to send a thot (Thot)
That's the only way to plot (Plot)
Klay Thomp', corner shot (Brrr)
Eight-ball, corner pocket (Ayy)
White boys in the game (White)
Call 'em Andy Milonakis (Yeah)
He won't hesitate to shoot 'em (Shoot)
Private jet to Bermuda (Woo)
I knew I been had sauce (Who)
'Cause I was fuckin' on my tutor (Who)
Truck backin' up the dually
A hundred pounds out the cooler
Came from a Cup O' Noodles (Ayy)
I fucked the game, Kama Sutra
I got M's on my mind
I got boulders in my time
Put a model bitch on coco
Told her ""Read between the lines"" (Coco)
J's out there snitchin', yeah
Heard it through the vine (J's)
Packin' up the kitchen
Think I ran out of time, yeah

Verse 3: Offset
Woo woo woo woo woo, packs (Packs)
I paid the ticket, get you whacked (Brrr)
I chop the brick with the axe (Hey)
The cookie smellin' like a casket (Cookie)
I'm sellin' crack in my Rafs (Crack)
Put the addy in the nav (addy)
He steady poppin', know it's cap (Cap)
I hit the jungle, then adapt (Rarr)
30 thousand on the couch (30 ball!)
All my bitches from an app (App)
Instagram and the Snaps (Snap)
I bet a hundred on the craps (Craps)
I'm good on shawty, do without (Ooh)
She fucking niggas for the check (Check)
I'ma only get the mouth
Hop out a Lambo, Corsa on a bitch (Skrt)
I poured a four, Actavis (Act)
Walk in Goyard, got a bag for my bitch
Won't give a kiss 'cause I know you suck dick (Mwah)
Spent you a hundred, Philippe on your wrist (Patek)
Twenty-five pointers, one fist (Points)
Twenty-five bitches on list (Twenty-five)
Kel-tec, rubber band grip (Brrr)Verse 1: Takeoff"," (*Drinking*) Act (Act!)
Put the backends in the back (Back)
Draco on me, it's attached
Name a nigga with the pack (Pack)
Name a nigga with the sack (Sack)
Elem' o'clock, I got the MAC (MAC)
She eat the molly like a snack (Eat it up)
This gold on my neck a plaque (Plaque)
Bando Shane's Rib Shack (Eat it up)
Rob the plug if he tax (Tax)
Sip the lean and relax (Drink it up)
Park the Lamb in the back (Skrt, skrt)
Big dog, you a cat (Cat)
Rich in the matte black (Skrt, skrt)
Twenty hoes to be exact (Yeah)
I need ten, that's a dime
Want a nickel, that's a five (Yeah)
One to fly, one to slide
One to glide, ain't got time (Yeah)
Put a thirty on my .9
For a nigga out of line (Yeah)
Mama cryin', niggas dyin'
Wonder why I done gripped the fire, yeah"
5,"Title: Call Casting
Verse 1: Takeoff
(*Drinking*) Act (Act!)
Put the backends in the back (Back)
Draco on me, it's attached
Name a nigga with the pack (Pack)
Name a nigga with the sack (Sack)
Elem' o'clock, I got the MAC (MAC)
She eat the molly like a snack (Eat it up)
This gold on my neck a plaque (Plaque)
Bando Shane's Rib Shack (Eat it up)
Rob the plug if he tax (Tax)
Sip the lean and relax (Drink it up)
Park the Lamb in the back (Skrt, skrt)
Big dog, you a cat (Cat)
Rich in the matte black (Skrt, skrt)
Twenty hoes to be exact (Yeah)
I need ten, that's a dime
Want a nickel, that's a five (Yeah)
One to fly, one to slide
One to glide, ain't got time (Yeah)
Put a thirty on my .9
For a nigga out of line (Yeah)
Mama cryin', niggas dyin'
Wonder why I done gripped the fire, yeah

Verse 3: Offset
Woo woo woo woo woo, packs (Packs)
I paid the ticket, get you whacked (Brrr)
I chop the brick with the axe (Hey)
The cookie smellin' like a casket (Cookie)
I'm sellin' crack in my Rafs (Crack)
Put the addy in the nav (addy)
He steady poppin', know it's cap (Cap)
I hit the jungle, then adapt (Rarr)
30 thousand on the couch (30 ball!)
All my bitches from an app (App)
Instagram and the Snaps (Snap)
I bet a hundred on the craps (Craps)
I'm good on shawty, do without (Ooh)
She fucking niggas for the check (Check)
I'ma only get the mouth
Hop out a Lambo, Corsa on a bitch (Skrt)
I poured a four, Actavis (Act)
Walk in Goyard, got a bag for my bitch
Won't give a kiss 'cause I know you suck dick (Mwah)
Spent you a hundred, Philippe on your wrist (Patek)
Twenty-five pointers, one fist (Points)
Twenty-five bitches on list (Twenty-five)
Kel-tec, rubber band grip (Brrr)Verse 2: Quavo"," Brr, skrr, skrr, skrr, skrr-rr
Pot (Skrr skrr)
Niggas tried to send a thot (Thot)
That's the only way to plot (Plot)
Klay Thomp', corner shot (Brrr)
Eight-ball, corner pocket (Ayy)
White boys in the game (White)
Call 'em Andy Milonakis (Yeah)
He won't hesitate to shoot 'em (Shoot)
Private jet to Bermuda (Woo)
I knew I been had sauce (Who)
'Cause I was fuckin' on my tutor (Who)
Truck backin' up the dually
A hundred pounds out the cooler
Came from a Cup O' Noodles (Ayy)
I fucked the game, Kama Sutra
I got M's on my mind
I got boulders in my time
Put a model bitch on coco
Told her ""Read between the lines"" (Coco)
J's out there snitchin', yeah
Heard it through the vine (J's)
Packin' up the kitchen
Think I ran out of time, yeah"
6,"Title: Call Casting
Verse 1: Takeoff
(*Drinking*) Act (Act!)
Put the backends in the back (Back)
Draco on me, it's attached
Name a nigga with the pack (Pack)
Name a nigga with the sack (Sack)
Elem' o'clock, I got the MAC (MAC)
She eat the molly like a snack (Eat it up)
This gold on my neck a plaque (Plaque)
Bando Shane's Rib Shack (Eat it up)
Rob the plug if he tax (Tax)
Sip the lean and relax (Drink it up)
Park the Lamb in the back (Skrt, skrt)
Big dog, you a cat (Cat)
Rich in the matte black (Skrt, skrt)
Twenty hoes to be exact (Yeah)
I need ten, that's a dime
Want a nickel, that's a five (Yeah)
One to fly, one to slide
One to glide, ain't got time (Yeah)
Put a thirty on my .9
For a nigga out of line (Yeah)
Mama cryin', niggas dyin'
Wonder why I done gripped the fire, yeah

Verse 2: Quavo
Brr, skrr, skrr, skrr, skrr-rr
Pot (Skrr skrr)
Niggas tried to send a thot (Thot)
That's the only way to plot (Plot)
Klay Thomp', corner shot (Brrr)
Eight-ball, corner pocket (Ayy)
White boys in the game (White)
Call 'em Andy Milonakis (Yeah)
He won't hesitate to shoot 'em (Shoot)
Private jet to Bermuda (Woo)
I knew I been had sauce (Who)
'Cause I was fuckin' on my tutor (Who)
Truck backin' up the dually
A hundred pounds out the cooler
Came from a Cup O' Noodles (Ayy)
I fucked the game, Kama Sutra
I got M's on my mind
I got boulders in my time
Put a model bitch on coco
Told her ""Read between the lines"" (Coco)
J's out there snitchin', yeah
Heard it through the vine (J's)
Packin' up the kitchen
Think I ran out of time, yeahVerse 3: Offset"," Woo woo woo woo woo, packs (Packs)
I paid the ticket, get you whacked (Brrr)
I chop the brick with the axe (Hey)
The cookie smellin' like a casket (Cookie)
I'm sellin' crack in my Rafs (Crack)
Put the addy in the nav (addy)
He steady poppin', know it's cap (Cap)
I hit the jungle, then adapt (Rarr)
30 thousand on the couch (30 ball!)
All my bitches from an app (App)
Instagram and the Snaps (Snap)
I bet a hundred on the craps (Craps)
I'm good on shawty, do without (Ooh)
She fucking niggas for the check (Check)
I'ma only get the mouth
Hop out a Lambo, Corsa on a bitch (Skrt)
I poured a four, Actavis (Act)
Walk in Goyard, got a bag for my bitch
Won't give a kiss 'cause I know you suck dick (Mwah)
Spent you a hundred, Philippe on your wrist (Patek)
Twenty-five pointers, one fist (Points)
Twenty-five bitches on list (Twenty-five)
Kel-tec, rubber band grip (Brrr)"
7,"Title: Bad and Boujee
Verse 2: Quavo
Brr, skrr, skrr, skrr, skrr-rr
Pot (Skrr skrr)
Niggas tried to send a thot (Thot)
That's the only way to plot (Plot)
Klay Thomp', corner shot (Brrr)
Eight-ball, corner pocket (Ayy)
White boys in the game (White)
Call 'em Andy Milonakis (Yeah)
He won't hesitate to shoot 'em (Shoot)
Private jet to Bermuda (Woo)
I knew I been had sauce (Who)
'Cause I was fuckin' on my tutor (Who)
Truck backin' up the dually
A hundred pounds out the cooler
Came from a Cup O' Noodles (Ayy)
I fucked the game, Kama Sutra
I got M's on my mind
I got boulders in my time
Put a model bitch on coco
Told her ""Read between the lines"" (Coco)
J's out there snitchin', yeah
Heard it through the vine (J's)
Packin' up the kitchen
Think I ran out of time, yeah

Verse 3: Offset
Woo woo woo woo woo, packs (Packs)
I paid the ticket, get you whacked (Brrr)
I chop the brick with the axe (Hey)
The cookie smellin' like a casket (Cookie)
I'm sellin' crack in my Rafs (Crack)
Put the addy in the nav (addy)
He steady poppin', know it's cap (Cap)
I hit the jungle, then adapt (Rarr)
30 thousand on the couch (30 ball!)
All my bitches from an app (App)
Instagram and the Snaps (Snap)
I bet a hundred on the craps (Craps)
I'm good on shawty, do without (Ooh)
She fucking niggas for the check (Check)
I'ma only get the mouth
Hop out a Lambo, Corsa on a bitch (Skrt)
I poured a four, Actavis (Act)
Walk in Goyard, got a bag for my bitch
Won't give a kiss 'cause I know you suck dick (Mwah)
Spent you a hundred, Philippe on your wrist (Patek)
Twenty-five pointers, one fist (Points)
Twenty-five bitches on list (Twenty-five)
Kel-tec, rubber band grip (Brrr)Verse 1: Takeoff"," (*Drinking*) Act (Act!)
Put the backends in the back (Back)
Draco on me, it's attached
Name a nigga with the pack (Pack)
Name a nigga with the sack (Sack)
Elem' o'clock, I got the MAC (MAC)
She eat the molly like a snack (Eat it up)
This gold on my neck a plaque (Plaque)
Bando Shane's Rib Shack (Eat it up)
Rob the plug if he tax (Tax)
Sip the lean and relax (Drink it up)
Park the Lamb in the back (Skrt, skrt)
Big dog, you a cat (Cat)
Rich in the matte black (Skrt, skrt)
Twenty hoes to be exact (Yeah)
I need ten, that's a dime
Want a nickel, that's a five (Yeah)
One to fly, one to slide
One to glide, ain't got time (Yeah)
Put a thirty on my .9
For a nigga out of line (Yeah)
Mama cryin', niggas dyin'
Wonder why I done gripped the fire, yeah"
8,"Title: Bad and Boujee
Verse 1: Takeoff
(*Drinking*) Act (Act!)
Put the backends in the back (Back)
Draco on me, it's attached
Name a nigga with the pack (Pack)
Name a nigga with the sack (Sack)
Elem' o'clock, I got the MAC (MAC)
She eat the molly like a snack (Eat it up)
This gold on my neck a plaque (Plaque)
Bando Shane's Rib Shack (Eat it up)
Rob the plug if he tax (Tax)
Sip the lean and relax (Drink it up)
Park the Lamb in the back (Skrt, skrt)
Big dog, you a cat (Cat)
Rich in the matte black (Skrt, skrt)
Twenty hoes to be exact (Yeah)
I need ten, that's a dime
Want a nickel, that's a five (Yeah)
One to fly, one to slide
One to glide, ain't got time (Yeah)
Put a thirty on my .9
For a nigga out of line (Yeah)
Mama cryin', niggas dyin'
Wonder why I done gripped the fire, yeah

Verse 3: Offset
Woo woo woo woo woo, packs (Packs)
I paid the ticket, get you whacked (Brrr)
I chop the brick with the axe (Hey)
The cookie smellin' like a casket (Cookie)
I'm sellin' crack in my Rafs (Crack)
Put the addy in the nav (addy)
He steady poppin', know it's cap (Cap)
I hit the jungle, then adapt (Rarr)
30 thousand on the couch (30 ball!)
All my bitches from an app (App)
Instagram and the Snaps (Snap)
I bet a hundred on the craps (Craps)
I'm good on shawty, do without (Ooh)
She fucking niggas for the check (Check)
I'ma only get the mouth
Hop out a Lambo, Corsa on a bitch (Skrt)
I poured a four, Actavis (Act)
Walk in Goyard, got a bag for my bitch
Won't give a kiss 'cause I know you suck dick (Mwah)
Spent you a hundred, Philippe on your wrist (Patek)
Twenty-five pointers, one fist (Points)
Twenty-five bitches on list (Twenty-five)
Kel-tec, rubber band grip (Brrr)Verse 2: Quavo"," Brr, skrr, skrr, skrr, skrr-rr
Pot (Skrr skrr)
Niggas tried to send a thot (Thot)
That's the only way to plot (Plot)
Klay Thomp', corner shot (Brrr)
Eight-ball, corner pocket (Ayy)
White boys in the game (White)
Call 'em Andy Milonakis (Yeah)
He won't hesitate to shoot 'em (Shoot)
Private jet to Bermuda (Woo)
I knew I been had sauce (Who)
'Cause I was fuckin' on my tutor (Who)
Truck backin' up the dually
A hundred pounds out the cooler
Came from a Cup O' Noodles (Ayy)
I fucked the game, Kama Sutra
I got M's on my mind
I got boulders in my time
Put a model bitch on coco
Told her ""Read between the lines"" (Coco)
J's out there snitchin', yeah
Heard it through the vine (J's)
Packin' up the kitchen
Think I ran out of time, yeah"
9,"Title: Bad and Boujee
Verse 1: Takeoff
(*Drinking*) Act (Act!)
Put the backends in the back (Back)
Draco on me, it's attached
Name a nigga with the pack (Pack)
Name a nigga with the sack (Sack)
Elem' o'clock, I got the MAC (MAC)
She eat the molly like a snack (Eat it up)
This gold on my neck a plaque (Plaque)
Bando Shane's Rib Shack (Eat it up)
Rob the plug if he tax (Tax)
Sip the lean and relax (Drink it up)
Park the Lamb in the back (Skrt, skrt)
Big dog, you a cat (Cat)
Rich in the matte black (Skrt, skrt)
Twenty hoes to be exact (Yeah)
I need ten, that's a dime
Want a nickel, that's a five (Yeah)
One to fly, one to slide
One to glide, ain't got time (Yeah)
Put a thirty on my .9
For a nigga out of line (Yeah)
Mama cryin', niggas dyin'
Wonder why I done gripped the fire, yeah

Verse 2: Quavo
Brr, skrr, skrr, skrr, skrr-rr
Pot (Skrr skrr)
Niggas tried to send a thot (Thot)
That's the only way to plot (Plot)
Klay Thomp', corner shot (Brrr)
Eight-ball, corner pocket (Ayy)
White boys in the game (White)
Call 'em Andy Milonakis (Yeah)
He won't hesitate to shoot 'em (Shoot)
Private jet to Bermuda (Woo)
I knew I been had sauce (Who)
'Cause I was fuckin' on my tutor (Who)
Truck backin' up the dually
A hundred pounds out the cooler
Came from a Cup O' Noodles (Ayy)
I fucked the game, Kama Sutra
I got M's on my mind
I got boulders in my time
Put a model bitch on coco
Told her ""Read between the lines"" (Coco)
J's out there snitchin', yeah
Heard it through the vine (J's)
Packin' up the kitchen
Think I ran out of time, yeahVerse 3: Offset"," Woo woo woo woo woo, packs (Packs)
I paid the ticket, get you whacked (Brrr)
I chop the brick with the axe (Hey)
The cookie smellin' like a casket (Cookie)
I'm sellin' crack in my Rafs (Crack)
Put the addy in the nav (addy)
He steady poppin', know it's cap (Cap)
I hit the jungle, then adapt (Rarr)
30 thousand on the couch (30 ball!)
All my bitches from an app (App)
Instagram and the Snaps (Snap)
I bet a hundred on the craps (Craps)
I'm good on shawty, do without (Ooh)
She fucking niggas for the check (Check)
I'ma only get the mouth
Hop out a Lambo, Corsa on a bitch (Skrt)
I poured a four, Actavis (Act)
Walk in Goyard, got a bag for my bitch
Won't give a kiss 'cause I know you suck dick (Mwah)
Spent you a hundred, Philippe on your wrist (Patek)
Twenty-five pointers, one fist (Points)
Twenty-five bitches on list (Twenty-five)
Kel-tec, rubber band grip (Brrr)"
